слой,орган,образец,идентификатор,группа,значение
органоид,желудок,9,ACH-002736,BRAKES,-0.7938442230224609
органоид,желудок,10,ACH-002737,BRAKES,8.900169372558594
органоид,желудок,16,ACH-002746,BRAKES,3.4064064025878906
органоид,желудок,17,ACH-002748,BRAKES,2.347270965576172
органоид,желудок,18,ACH-002751,BRAKES,2.349292755126953
органоид,желудок,19,ACH-002757,BRAKES,1.6145477294921875
органоид,желудок,20,ACH-002777,BRAKES,-2.01751708984375
органоид,желудок,28,ACH-002919,BRAKES,0.12223434448242188
органоид,желудок,34,ACH-002952,BRAKES,1.9960250854492188
органоид,желудок,35,ACH-002955,BRAKES,0.4446067810058594
органоид,желудок,36,ACH-002957,BRAKES,1.6064949035644531
органоид,желудок,37,ACH-002958,BRAKES,7.015636444091797
органоид,желудок,38,ACH-002962,BRAKES,-1.0127906799316406
органоид,желудок,39,ACH-002963,BRAKES,3.6240081787109375
органоид,желудок,40,ACH-002967,BRAKES,2.7750911712646484
органоид,желудок,41,ACH-002968,BRAKES,6.033744812011719
органоид,желудок,42,ACH-002969,BRAKES,6.204326629638672
органоид,желудок,43,ACH-002972,BRAKES,-0.4419212341308594
органоид,желудок,44,ACH-002978,BRAKES,1.8012542724609375
органоид,желудок,45,ACH-002979,BRAKES,3.988018035888672
органоид,желудок,46,ACH-002982,BRAKES,5.293628692626953
органоид,желудок,128,ACH-003416,BRAKES,-3.0759735107421875
органоид,желудок,129,ACH-003424,BRAKES,4.296958923339844
органоид,желудок,130,ACH-003425,BRAKES,2.6555423736572266
органоид,желудок,137,ACH-003624,BRAKES,1.0947265625
органоид,желудок,138,ACH-003626,BRAKES,0.16521644592285156
органоид,желудок,139,ACH-003627,BRAKES,0.36266517639160156
органоид,желудок,140,ACH-003628,BRAKES,-0.12760162353515625
органоид,желудок,141,ACH-003629,BRAKES,6.881311416625977
органоид,желудок,142,ACH-003630,BRAKES,2.9282188415527344
органоид,желудок,143,ACH-003631,BRAKES,2.6877784729003906
органоид,желудок,4,ACH-002730,ENTRY adaptors,-2.7213592529296875
органоид,желудок,5,ACH-002731,ENTRY adaptors,-4.666343688964844
органоид,желудок,6,ACH-002733,ENTRY adaptors,-1.1095046997070312
органоид,желудок,7,ACH-002734,ENTRY adaptors,-1.8643951416015625
органоид,желудок,8,ACH-002735,ENTRY adaptors,5.0021514892578125
органоид,желудок,9,ACH-002736,ENTRY adaptors,0.7575759887695312
органоид,желудок,10,ACH-002737,ENTRY adaptors,0.647430419921875
органоид,желудок,16,ACH-002746,ENTRY adaptors,-3.758331298828125
органоид,желудок,17,ACH-002748,ENTRY adaptors,3.7690658569335938
органоид,желудок,18,ACH-002751,ENTRY adaptors,3.2586517333984375
органоид,желудок,19,ACH-002757,ENTRY adaptors,3.0679168701171875
органоид,желудок,20,ACH-002777,ENTRY adaptors,4.21771240234375
органоид,желудок,28,ACH-002919,ENTRY adaptors,4.182788848876953
органоид,желудок,34,ACH-002952,ENTRY adaptors,1.0799484252929688
органоид,желудок,35,ACH-002955,ENTRY adaptors,2.2270545959472656
органоид,желудок,36,ACH-002957,ENTRY adaptors,3.5246047973632812
органоид,желудок,37,ACH-002958,ENTRY adaptors,5.528694152832031
органоид,желудок,38,ACH-002962,ENTRY adaptors,7.524711608886719
органоид,желудок,39,ACH-002963,ENTRY adaptors,6.345367431640625
органоид,желудок,40,ACH-002967,ENTRY adaptors,8.475715637207031
органоид,желудок,41,ACH-002968,ENTRY adaptors,2.3210906982421875
органоид,желудок,42,ACH-002969,ENTRY adaptors,6.460884094238281
органоид,желудок,43,ACH-002972,ENTRY adaptors,-9.74102783203125
органоид,желудок,44,ACH-002978,ENTRY adaptors,4.4702301025390625
органоид,желудок,45,ACH-002979,ENTRY adaptors,4.95379638671875
органоид,желудок,46,ACH-002982,ENTRY adaptors,5.014240264892578
органоид,желудок,128,ACH-003416,ENTRY adaptors,3.6374359130859375
органоид,желудок,129,ACH-003424,ENTRY adaptors,-0.92413330078125
органоид,желудок,130,ACH-003425,ENTRY adaptors,10.404571533203125
