слой,орган,образец,идентификатор,группа,значение
органоид,желудок,128,ACH-003416,MHC-I presentation,-0.48624420166015625
органоид,желудок,129,ACH-003424,MHC-I presentation,13.296527862548828
органоид,желудок,130,ACH-003425,MHC-I presentation,3.1968650817871094
органоид,желудок,137,ACH-003624,MHC-I presentation,10.086231231689453
органоид,желудок,138,ACH-003626,MHC-I presentation,7.935066223144531
органоид,желудок,139,ACH-003627,MHC-I presentation,1.2948646545410156
органоид,желудок,140,ACH-003628,MHC-I presentation,0.0470123291015625
органоид,желудок,141,ACH-003629,MHC-I presentation,10.217864990234375
органоид,желудок,142,ACH-003630,MHC-I presentation,8.20169448852539
органоид,желудок,143,ACH-003631,MHC-I presentation,8.066036224365234
органоид,желудок,4,ACH-002730,NK activating ligands,-1.9893054962158203
органоид,желудок,5,ACH-002731,NK activating ligands,-0.6984739303588867
органоид,желудок,6,ACH-002733,NK activating ligands,-3.4695396423339844
органоид,желудок,7,ACH-002734,NK activating ligands,-4.075328826904297
органоид,желудок,8,ACH-002735,NK activating ligands,-8.481088638305664
органоид,желудок,9,ACH-002736,NK activating ligands,-9.824308395385742
органоид,желудок,10,ACH-002737,NK activating ligands,-5.027669906616211
органоид,желудок,16,ACH-002746,NK activating ligands,4.283525466918945
органоид,желудок,17,ACH-002748,NK activating ligands,2.077960968017578
органоид,желудок,18,ACH-002751,NK activating ligands,3.6078872680664062
органоид,желудок,19,ACH-002757,NK activating ligands,4.431280136108398
органоид,желудок,20,ACH-002777,NK activating ligands,-5.320491790771484
органоид,желудок,28,ACH-002919,NK activating ligands,4.752311706542969
органоид,желудок,34,ACH-002952,NK activating ligands,-7.75843620300293
органоид,желудок,35,ACH-002955,NK activating ligands,-12.6840238571167
органоид,желудок,36,ACH-002957,NK activating ligands,-3.4292383193969727
органоид,желудок,37,ACH-002958,NK activating ligands,-5.711367607116699
органоид,желудок,38,ACH-002962,NK activating ligands,-1.83819580078125
органоид,желудок,39,ACH-002963,NK activating ligands,-11.567802429199219
органоид,желудок,40,ACH-002967,NK activating ligands,2.9631423950195312
органоид,желудок,41,ACH-002968,NK activating ligands,-3.0343360900878906
органоид,желудок,42,ACH-002969,NK activating ligands,-9.774608612060547
органоид,желудок,43,ACH-002972,NK activating ligands,3.180744171142578
органоид,желудок,44,ACH-002978,NK activating ligands,0.7145938873291016
органоид,желудок,45,ACH-002979,NK activating ligands,-0.6675777435302734
органоид,желудок,46,ACH-002982,NK activating ligands,-14.500055313110352
органоид,желудок,128,ACH-003416,NK activating ligands,0.6729564666748047
органоид,желудок,129,ACH-003424,NK activating ligands,-5.499139785766602
органоид,желудок,130,ACH-003425,NK activating ligands,-12.960724830627441
органоид,желудок,137,ACH-003624,NK activating ligands,9.575809478759766
органоид,желудок,138,ACH-003626,NK activating ligands,5.74494743347168
органоид,желудок,139,ACH-003627,NK activating ligands,1.1699447631835938
органоид,желудок,140,ACH-003628,NK activating ligands,6.02031135559082
органоид,желудок,141,ACH-003629,NK activating ligands,0.9973373413085938
органоид,желудок,142,ACH-003630,NK activating ligands,-2.1343746185302734
органоид,желудок,143,ACH-003631,NK activating ligands,2.619277000427246
органоид,желудок,4,ACH-002730,Necroptosis executioners,2.417795181274414
органоид,желудок,5,ACH-002731,Necroptosis executioners,11.438858032226562
органоид,желудок,6,ACH-002733,Necroptosis executioners,-9.692668914794922
органоид,желудок,7,ACH-002734,Necroptosis executioners,-6.260746002197266
органоид,желудок,8,ACH-002735,Necroptosis executioners,-0.3774452209472656
органоид,желудок,9,ACH-002736,Necroptosis executioners,8.678539276123047
органоид,желудок,10,ACH-002737,Necroptosis executioners,-3.722055435180664
органоид,желудок,16,ACH-002746,Necroptosis executioners,-9.45760726928711
органоид,желудок,17,ACH-002748,Necroptosis executioners,2.5924148559570312
органоид,желудок,18,ACH-002751,Necroptosis executioners,4.1975555419921875
органоид,желудок,19,ACH-002757,Necroptosis executioners,0.8704051971435547
органоид,желудок,20,ACH-002777,Necroptosis executioners,10.48651123046875
органоид,желудок,28,ACH-002919,Necroptosis executioners,0.8233928680419922
органоид,желудок,34,ACH-002952,Necroptosis executioners,2.20556640625
органоид,желудок,35,ACH-002955,Necroptosis executioners,-19.60428810119629
органоид,желудок,36,ACH-002957,Necroptosis executioners,-1.923492431640625
органоид,желудок,37,ACH-002958,Necroptosis executioners,-0.7065353393554688
органоид,желудок,38,ACH-002962,Necroptosis executioners,2.401674270629883
органоид,желудок,39,ACH-002963,Necroptosis executioners,8.123794555664062
органоид,желудок,40,ACH-002967,Necroptosis executioners,-3.164623260498047
органоид,желудок,41,ACH-002968,Necroptosis executioners,-2.024229049682617
органоид,желудок,42,ACH-002969,Necroptosis executioners,-5.899417877197266
органоид,желудок,43,ACH-002972,Necroptosis executioners,2.241832733154297
органоид,желудок,44,ACH-002978,Necroptosis executioners,0.9886074066162109
органоид,желудок,45,ACH-002979,Necroptosis executioners,3.3405838012695312
органоид,желудок,46,ACH-002982,Necroptosis executioners,-1.6038017272949219
органоид,желудок,128,ACH-003416,Necroptosis executioners,-16.37250328063965
органоид,желудок,129,ACH-003424,Necroptosis executioners,-3.7529544830322266
органоид,желудок,130,ACH-003425,Necroptosis executioners,-4.871858596801758
органоид,желудок,137,ACH-003624,Necroptosis executioners,6.498493194580078
органоид,желудок,138,ACH-003626,Necroptosis executioners,-14.29185676574707
органоид,желудок,139,ACH-003627,Necroptosis executioners,-1.1739749908447266
органоид,желудок,140,ACH-003628,Necroptosis executioners,-4.5333709716796875
органоид,желудок,141,ACH-003629,Necroptosis executioners,-8.178865432739258
органоид,желудок,142,ACH-003630,Necroptosis executioners,0.20953941345214844
органоид,желудок,143,ACH-003631,Necroptosis executioners,-7.1204071044921875
