ген,орган,здоровая,пациент,органоид,2D,группа
CASP6,молочная,-6.994817733764648,6.0256805419921875,9.980113983154297,0.4056549072265625,Apoptosis executioners
CASP7,молочная,6.507896423339844,-5.594505310058594,-1.0705413818359375,-0.102081298828125,Apoptosis executioners
APAF1,молочная,3.3788700103759766,-4.233829498291016,-1.0047283172607422,-0.2229766845703125,Apoptosis initiators
BAK1,молочная,-17.880266189575195,-7.719482421875,4.561576843261719,0.0590972900390625,Apoptosis initiators
BAX,молочная,-4.278156280517578,-0.16119003295898438,-0.5419921875,0.33849334716796875,Apoptosis initiators
CASP9,молочная,-12.009725570678711,-6.458198547363281,8.697345733642578,-0.099395751953125,Apoptosis initiators
CYCS,молочная,2.157215118408203,1.2263565063476562,1.0665168762207031,-0.08327484130859375,Apoptosis initiators
DIABLO,молочная,-43.39068603515625,-59.2010498046875,1.5702247619628906,0.464752197265625,Apoptosis initiators
MLKL,молочная,-9.580513000488281,-6.84235954284668,-5.536748886108398,0.24715042114257812,Necroptosis executioners
PGAM5,молочная,-17.81377410888672,-19.44982147216797,-4.60723876953125,-0.48892974853515625,Necroptosis executioners
RIPK1,молочная,9.982135772705078,-4.576351165771484,1.9422931671142578,-0.07790374755859375,Necroptosis initiators
RIPK3,молочная,6.810122489929199,9.306495666503906,-2.122286796569824,0.9536857604980469,Necroptosis initiators
ZBP1,молочная,6.557598114013672,19.15565299987793,0.0,0.0,Necroptosis initiators
GSDMB,молочная,-12.966096878051758,-11.274984359741211,-6.444766998291016,0.05641937255859375,Pyroptosis executioners
GSDMD,молочная,-4.140472412109375,8.583168029785156,-8.36825180053711,1.3163528442382812,Pyroptosis executioners
GSDME,молочная,-0.8751068115234375,-5.045132637023926,13.355630874633789,-0.17998886108398438,Pyroptosis executioners
AIM2,молочная,4.879916191101074,0.0,-7.871266841888428,0.0,Pyroptosis initiators
CASP1,молочная,10.884109497070312,5.090801239013672,17.12335968017578,-0.8704032897949219,Pyroptosis initiators
CASP4,молочная,15.776115417480469,-7.552925109863281,8.244678497314453,0.41909027099609375,Pyroptosis initiators
CASP5,молочная,2.7200193405151367,0.0,0.0,0.0,Pyroptosis initiators
NLRC4,молочная,1.3210554122924805,-6.39238166809082,1.4493331909179688,0.4513225555419922,Pyroptosis initiators
NLRP3,молочная,-1.6420869827270508,2.6756935119628906,0.0,-0.11283111572265625,Pyroptosis initiators
PYCARD,молочная,7.9438018798828125,29.724102020263672,16.360414505004883,-0.6769790649414062,Pyroptosis initiators
CD274,молочная,13.584650039672852,-0.6071338653564453,-3.5125179290771484,0.6178779602050781,Inhibitory signals
CD47,молочная,12.313961029052734,3.167308807373047,0.7978668212890625,-0.0617828369140625,Inhibitory signals
CEACAM1,молочная,36.146705627441406,12.599395751953125,15.269718170166016,0.470123291015625,Inhibitory signals
HLA-E,молочная,17.119327545166016,7.163394927978516,2.1061668395996094,-0.16387939453125,Inhibitory signals
LGALS9,молочная,1.1551685333251953,10.627553939819336,8.368257522583008,-0.29819488525390625,Inhibitory signals
PDCD1LG2,молочная,9.142621994018555,0.0,0.0,-0.38416099548339844,Inhibitory signals
B2M,молочная,1.8160324096679688,1.0409965515136719,0.7468299865722656,0.7629547119140625,MHC-I presentation
CALR,молочная,0.17730712890625,0.03089141845703125,-0.0040283203125,0.18804931640625,MHC-I presentation
ERAP1,молочная,4.957822799682617,-7.437406539916992,4.626045227050781,-0.5131111145019531,MHC-I presentation
HLA-A,молочная,32.544189453125,30.845687866210938,20.128145217895508,-1.1632308959960938,MHC-I presentation
HLA-B,молочная,22.685630798339844,14.907047271728516,6.001502990722656,1.0826339721679688,MHC-I presentation
HLA-C,молочная,24.009380340576172,19.04550552368164,-7.229206085205078,0.72802734375,MHC-I presentation
NLRC5,молочная,14.952716827392578,0.29953956604003906,-6.4796905517578125,1.9476661682128906,MHC-I presentation
PSMB8,молочная,10.93111801147461,9.591930389404297,7.8591766357421875,0.5426559448242188,MHC-I presentation
PSMB9,молочная,1.3855342864990234,16.122661590576172,-4.979314804077148,-0.4593772888183594,MHC-I presentation
TAP1,молочная,0.07924652099609375,3.12432861328125,3.711315155029297,0.4996795654296875,MHC-I presentation
TAP2,молочная,-9.943851470947266,-22.163114547729492,-14.723030090332031,1.3083038330078125,MHC-I presentation
TAPBP,молочная,13.866058349609375,6.830268859863281,3.4077491760253906,-0.18536376953125,MHC-I presentation
MICA,молочная,-4.885288238525391,-0.93084716796875,-3.6629562377929688,0.02149200439453125,NK activating ligands
MICB,молочная,-26.39627456665039,-17.816463470458984,-19.294675827026367,0.24177932739257812,NK activating ligands
NECTIN2,молочная,10.939178466796875,4.443370819091797,2.2203407287597656,-0.15312957763671875,NK activating ligands
PVR,молочная,-5.180124282836914,-26.03696632385254,-12.097028732299805,-0.4083404541015625,NK activating ligands
RAET1E,молочная,-12.64171028137207,0.0,-1.2115850448608398,-0.3465538024902344,NK activating ligands
ULBP1,молочная,-18.594188690185547,-8.74838638305664,0.9684619903564453,0.7898101806640625,NK activating ligands
ULBP2,молочная,-27.888595581054688,-18.943424224853516,-2.609874725341797,-0.0376129150390625,NK activating ligands
ULBP3,молочная,-8.728913307189941,-27.64883041381836,4.00279426574707,0.44057464599609375,NK activating ligands
BID,панкреас,-17.614978790283203,1.7488670349121094,-6.658336639404297,0.21558761596679688,ENTRY adaptors
CASP10,панкреас,-3.344615936279297,14.516170501708984,6.10896110534668,0.2767047882080078,ENTRY adaptors
CASP8,панкреас,-17.655277252197266,2.600475311279297,0.9503288269042969,-0.16118621826171875,ENTRY adaptors
FADD,панкреас,-21.16242218017578,-4.0887603759765625,-4.579036712646484,-0.0093994140625,ENTRY adaptors
TRADD,панкреас,-2.8973236083984375,20.904525756835938,3.5299835205078125,0.48960113525390625,ENTRY adaptors
