gene	organ	identical_control_set	self_included_baseline	self_included_corrected	controls	control_set_sha256_prefix_baseline	control_set_sha256_prefix_corrected
BID	pancreas	True	0	0	400	83e1a02e25b1cdf1	83e1a02e25b1cdf1
BIRC2	pancreas	True	0	0	400	519f5347982a1fc5	519f5347982a1fc5
BIRC3	pancreas	True	0	0	400	e25f37f5a4f06b1c	e25f37f5a4f06b1c
CALR	pancreas	True	0	0	400	11e9fd447fbcab5f	11e9fd447fbcab5f
CASP1	pancreas	True	0	0	400	ed6e012bc5d753d3	ed6e012bc5d753d3
CASP10	pancreas	True	0	0	400	7b57e1a82a5cbf8d	7b57e1a82a5cbf8d
CASP3	pancreas	True	0	0	400	0150afd7e9a44918	0150afd7e9a44918
CASP4	pancreas	True	0	0	400	d09797c624c5b811	d09797c624c5b811
CASP5	pancreas	True	0	0	400	bbb23f95def471e5	bbb23f95def471e5
CASP6	pancreas	True	0	0	400	136d78279fecf24d	136d78279fecf24d
CASP7	pancreas	True	0	0	400	d3aef0cb0b3ea941	d3aef0cb0b3ea941
CASP8	pancreas	True	0	0	400	5078cb28464d8115	5078cb28464d8115
CASP9	pancreas	True	0	0	400	53462b24803c573e	53462b24803c573e
CD274	pancreas	True	0	0	400	a68e75307e36f393	a68e75307e36f393
CD47	pancreas	True	0	0	400	7cf156d8804dde87	7cf156d8804dde87
CEACAM1	pancreas	True	0	0	400	a5cdf84ef0ba39b2	a5cdf84ef0ba39b2
CFLAR	pancreas	True	0	0	400	2bf00bb651819fd3	2bf00bb651819fd3
CYCS	pancreas	True	0	0	400	827cf1ed5ccad3b6	827cf1ed5ccad3b6
DIABLO	pancreas	True	0	0	400	af3c11072a713382	af3c11072a713382
ERAP1	pancreas	True	0	0	400	b5e24e947c332381	b5e24e947c332381
FADD	pancreas	True	0	0	400	d4ac1ec27c6ec385	d4ac1ec27c6ec385
FAS	pancreas	True	0	0	400	87f8cddc5d7de76d	87f8cddc5d7de76d
GSDMB	pancreas	True	0	0	400	85c3e720993bf154	85c3e720993bf154
GSDMD	pancreas	True	0	0	400	0a7e8f2be3bcb2cd	0a7e8f2be3bcb2cd
GSDME	pancreas	True	0	0	400	54c1d7f809725fae	54c1d7f809725fae
HLA-A	pancreas	True	0	0	400	770f300cb2d9ef77	770f300cb2d9ef77
HLA-B	pancreas	True	0	0	400	2e4faabb6f4a0294	2e4faabb6f4a0294
HLA-C	pancreas	True	0	0	400	b4c3efe73bafd6cd	b4c3efe73bafd6cd
HLA-E	pancreas	True	0	0	400	bb1d2e9c74e4e9d8	bb1d2e9c74e4e9d8
LGALS9	pancreas	True	0	0	400	5c787a22081af53e	5c787a22081af53e
MCL1	pancreas	True	0	0	400	40c05eb0e67ce116	40c05eb0e67ce116
MICA	pancreas	True	0	0	400	057b8a28e71b1968	057b8a28e71b1968
MICB	pancreas	True	0	0	400	1d83361be8945b94	1d83361be8945b94
MLKL	pancreas	True	0	0	400	37eb9421dbffb2b6	37eb9421dbffb2b6
NECTIN2	pancreas	True	0	0	400	e95c505bf63a4824	e95c505bf63a4824
NLRC4	pancreas	True	0	0	400	a3a8624464e7e745	a3a8624464e7e745
NLRC5	pancreas	True	0	0	400	eaff265494e2a051	eaff265494e2a051
NLRP3	pancreas	True	0	0	400	b2f020c668d90f51	b2f020c668d90f51
PDCD1LG2	pancreas	True	0	0	400	51d71c62f715e3ef	51d71c62f715e3ef
PGAM5	pancreas	True	0	0	400	31a37a229ee2299e	31a37a229ee2299e
PSMB8	pancreas	True	0	0	400	517d5686230d5af2	517d5686230d5af2
PSMB9	pancreas	True	0	0	400	ea871955c087bc9c	ea871955c087bc9c
PVR	pancreas	True	0	0	400	fdacb3889ad284eb	fdacb3889ad284eb
PYCARD	pancreas	True	0	0	400	7c1e3937873f5c03	7c1e3937873f5c03
RAET1E	pancreas	True	0	0	400	a1241c60ec0ab73e	a1241c60ec0ab73e
RIPK1	pancreas	True	0	0	400	829f6522c735673c	829f6522c735673c
RIPK3	pancreas	True	0	0	400	c19b59b179af9e94	c19b59b179af9e94
TAP1	pancreas	True	0	0	400	40a6d1c0768c5b7e	40a6d1c0768c5b7e
TAP2	pancreas	True	0	0	400	6bbccb8499b81bde	6bbccb8499b81bde
TAPBP	pancreas	True	0	0	400	7d61bf3bb54d42d4	7d61bf3bb54d42d4
TNFAIP3	pancreas	True	0	0	400	425eb0085a5892da	425eb0085a5892da
TNFRSF10A	pancreas	True	0	0	400	a9a83c91bae9002f	a9a83c91bae9002f
TNFRSF10B	pancreas	True	0	0	400	aa2ecd507cf99545	aa2ecd507cf99545
TNFRSF1A	pancreas	True	0	0	400	22b9be9fd2aaa954	22b9be9fd2aaa954
TRADD	pancreas	True	0	0	400	6918ae5e4a13e16a	6918ae5e4a13e16a
